presentations
"タイトル(日本語)","タイトル(英語)","講演者(日本語)","講演者(英語)","会議名(日本語)","会議名(英語)","発表年月日","開催年月日(From)","開催年月日(To)","招待の有無","記述言語","会議種別","主催者(日本語)","主催者(英語)","開催地(日本語)","開催地(英語)","国・地域","国際・国内会議","国際共著","概要(日本語)","概要(英語)","URL","URL2"
"サクラマスの乱婚が子の性質に与える影響","null","牧口祐也","null","水産研究・教育機構 東北区水産研究所沿岸漁業資源研究センター所内セミナー","null","2018-08-02","2018-08-02","2018-08-02","FALSE","jpn","oral_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"サケの配偶相手の選択行動とMHC遺伝子型の関係","null","牧口祐也","null","新学術領域「生物ナビゲーションのシステム科学」領域会議","null","2018-06-08","2018-06-08","2018-06-09","FALSE","jpn","poster_presentation","null","null","名古屋工業大学","null","JPN","FALSE","FALSE","null","null","null","null"
"神経活動ロガーを活用した海鳥とマスの脳内ニューロン活動記録","null","髙橋晋、松本祥子、牧口祐也、井出薫、依田憲","null","新学術領域「生物ナビゲーションのシステム科学」領域会議","null","2018-06-08","2018-06-08","2018-06-09","FALSE","jpn","poster_presentation","null","null","名古屋工業大学","null","JPN","FALSE","FALSE","null","null","null","null"
"水中ビデオカメラを用いた底延縄漁具周辺に出現した魚の行動観察","null","小島隆人、沖山祐大、金井幾吹、牧口祐也、森有平","null","日本水産工学会","null","2018-05-12","2018-05-12","2018-05-14","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"遡上時期の異なる本州サケ集団間でみられた高温耐性と至適水温範囲の違い","null","阿部貴晃、北川貴士、牧口祐也、佐藤克文","null","日本水産学会春季大会","null","2018-03-26","2018-03-26","2018-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"照度の違いがシロザケの求愛行動に与える影響","null","横森洋治郎、牧口祐也、小島隆人","null","日本水産学会春季大会","null","2018-03-26","2018-03-26","2018-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"画像解析による釣針形状の幾何学的特徴解明","null","小島隆人、福本大海、牧口祐也、森有平","null","日本水産学会春季大会","null","2018-03-26","2018-03-26","2018-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"サクラマスの雌が乱婚から享受する利益の検証","null","牧口祐也","null","第41回長崎最西端進化生態学セミナー","null","2017-05-16","2017-05-16","2017-05-16","TRUE","jpn","invited_oral_presentation","null","null","長崎大学水産学部","null","JPN","FALSE","FALSE","null","null","null","null"
"ヒメマスの二次性徴とオスの精子運動性能の関係","null","大村風音、牧口祐也、小島隆人","null","日本水産学会春季大会","null","2017-03-26","2017-03-26","2017-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"遡上時期の異なるサケ集団間での至適水温範囲の違い（水産学会春）","null","阿部貴晃、北川貴士、牧口祐也、佐藤克文","null","日本水産学会春季大会","null","2017-03-26","2017-03-26","2017-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"動画上で漁具周辺に出現する魚を抽出するための画素による抽出の試み","null","沖山祐大、小島隆人、牧口祐也","null","日本水産学会春季大会","null","2017-03-26","2017-03-26","2017-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"低周波騒音に対するシロザケの反応","null","田中昂大、小島隆人、三好風太、南條拓郎、猪股啓一郎、牧口祐也、市村政樹、島隆夫、塩原泰","null","日本水産学会春季大会","null","2017-03-26","2017-03-26","2017-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"雌の体腔液がサクラマスの精子運動に与える影響と代替繁殖戦略の違いによる比較","null","牧口祐也","null","第28回魚類生態研究会","null","2017-02-11","2017-02-11","2017-02-12","FALSE","jpn","poster_presentation","null","null","長崎大学水産学部","null","JPN","FALSE","FALSE","null","null","null","null"
"遡上時期の異なるサケ集団間での至適水温範囲の違い（生態学会）","null","阿部貴晃、北川貴士、牧口祐也、佐藤克文","null","日本生態学会","null","2016-05","2016-05","2016-05","FALSE","jpn","poster_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"イルカの短時間潜水に伴う血管収縮ホルモンの血中濃度変動","null","鈴木美和、伊藤美希、友重美香、牧口祐也、古賀壮太郎、徳武浩司、豊後貴嗣","null","日本水産学会秋季大会","null","2016-09-08","2016-09-08","2016-09-11","FALSE","jpn","oral_presentation","null","null","近畿大学農学部","null","JPN","FALSE","FALSE","null","null","null","null"
"ケプストラムを用いた魚類心電図からの心拍数推定","null","小島隆人、牧口祐也、津田裕一、原隆、白須邦夫","null","日本水産工学会","null","2016-04-30","2016-04-30","2016-04-30","FALSE","jpn","oral_presentation","null","null","日本大学生物資源科学部","null","JPN","FALSE","FALSE","null","null","null","null"
"三陸沿岸母川に回帰するサケ親魚の遊泳能力に与える水温の影響評価","null","阿部貴晃、北川貴士、青山潤、牧口祐也、佐藤克文","null","日本水産学会春季大会","null","2016-03-26","2016-03-26","2016-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"小型ビデオカメラによる底延縄漁具周辺に出現した魚の行動観察","null","沖山祐大、小島隆人、牧口祐也","null","日本水産学会春季大会","null","2016-03-26","2016-03-26","2016-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"低インピーダンス生体組織を利用した人の手に触れることなく導出されたウツボの心電図","null","小島隆人、白石匠、登石直路、酒井尚人、牧口祐也","null","日本水産学会春季大会","null","2016-03-26","2016-03-26","2016-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"カラフトマスの個体密度が雄の繁殖行動に与える影響","null","牧口祐也、大西美宇、小橋史明、小島隆人、市村政樹","null","日本水産学会春季大会","null","2015-03-27","2015-03-27","2015-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"定置網構造の一部改良が魚群滞留特性に及ぼす効果","null","小島隆人、金子洋佑、成合拓、牧口祐也、石田允彦、播磨孝雄、笹倉豊喜","null","日本水産学会春季大会","null","2015-03-27","2015-03-27","2015-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"人工騒音に対するシロザケ遊泳行動の解析","null","吉田星也、清水大空、瀬古啓太、松本圭祐、牧口祐也、小島隆人、市村政樹、塩原泰","null","日本水産学会春季大会","null","2015-03-27","2015-03-27","2015-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"1/fゆらぎ成分を有する楽曲による魚類のストレス回復効果","null","重松祐輔、時松貞彰、村越伸一郎、吉田星也、牧口祐也、小島隆人","null","日本水産学会春季大会","null","2015-03-27","2015-03-27","2015-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学","null","JPN","FALSE","FALSE","null","null","null","null"
"サケ雄の精子節約と雌の体サイズの関係","null","牧口祐也、市村政樹、小島隆人","null","第8回サケ学研究会","null","2014-12-21","2014-12-21","2014-12-21","FALSE","jpn","oral_presentation","null","null","北海道大学","null","JPN","FALSE","FALSE","null","null","null","null"
"ABR技法によるシロザケ稚魚聴覚閾値の解明","null","吉田星也、牧口祐也、小島隆人、市村政樹、塩原泰","null","日本水産学会秋季大会","null","2014-09-19","2014-09-19","2014-09-22","FALSE","jpn","oral_presentation","null","null","九州大学","null","JPN","FALSE","FALSE","null","null","null","null"
"サケの婚姻色と精子の遊泳速度との関係","null","牧口祐也、豊嶋紘太、小橋史明、小島隆人、市村政樹","null","日本水産学会春季大会","null","2014-03-27","2014-03-27","2014-03-31","FALSE","jpn","oral_presentation","null","null","北海道大学","null","JPN","FALSE","FALSE","null","null","null","null"
"日周変化がカラフトマスオスの求愛行動に与える影響","null","小橋史明、牧口祐也、桑島悠平、角井幸樹、小島隆人","null","日本水産学会春季大会","null","2014-03-27","2014-03-27","2014-03-31","FALSE","jpn","oral_presentation","null","null","北海道大学","null","JPN","FALSE","FALSE","null","null","null","null"
"ABR技法を用いたシロザケ聴覚閾値の解明","null","吉田星也、牧口祐也、小島隆人、市村政樹、塩原泰","null","日本水産学会春季大会","null","2014-03-27","2014-03-27","2014-03-31","FALSE","jpn","oral_presentation","null","null","北海道大学","null","JPN","FALSE","FALSE","null","null","null","null"
"音楽放音によるブリの人為的ストレス緩和効果","null","小島隆人、齋藤謙太郎、重松祐輔、牧口祐也、竹下朗、平田善郎","null","日本水産学会春季大会","null","2014-03-27","2014-03-27","2014-03-31","FALSE","jpn","oral_presentation","null","null","北海道大学","null","JPN","FALSE","FALSE","null","null","null","null"
"ガルバニック電蝕を利用した浮体切り離し装置による定置網内の魚群残留率の推定","null","小島隆人、成合拓、阿部真大、牧口祐也、石田允彦、笹倉豊喜","null","日本水産学会春季大会","null","2014-03-27","2014-03-27","2014-03-31","FALSE","jpn","oral_presentation","null","null","北海道大学","null","JPN","FALSE","FALSE","null","null","null","null"
"シロザケ雄は精子を節約するのか？-雌と雄の体サイズの関係について-","null","牧口祐也、北山武憲、根本武、市村政樹、小島隆人","null","日本動物行動学会第32回大会","null","2013-11-29","2013-11-29","2013-12-01","FALSE","jpn","poster_presentation","null","null","広島大学東広島キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"淡水魚を対象とした使用例","null","牧口祐也","null","第9回日本バイオロギング研究会シンポジウム","null","2013-11-29","2013-11-29","2013-12-01","FALSE","jpn","oral_presentation","null","null","東京大学大気海洋研究所","null","JPN","FALSE","FALSE","null","null","null","null"
"魚類の脳波からわかること～脳波ロガー開発の試み","null","牧口祐也","null","第9回日本バイオロギング研究会シンポジウム","null","2013-11-29","2013-11-29","2013-12-01","TRUE","jpn","invited_oral_presentation","null","null","東京大学大気海洋研究所","null","JPN","FALSE","FALSE","null","null","null","null"
"深海性二枚貝のセロトニン受容体遺伝子の発現動態","null","小糸智子、牧口祐也、井上広滋","null","日本水産学会秋季大会","null","2013-09-19","2013-09-19","2013-09-22","FALSE","jpn","poster_presentation","null","null","三重大学","null","JPN","FALSE","FALSE","null","null","null","null"
"二次性徴に伴うカラフトマスオスの形態的特徴と繁殖行動の関係","null","小橋史明、桑島悠平、角井幸樹、牧口祐也、小島隆人","null","日本水産学会秋季大会","null","2013-09-19","2013-09-19","2013-09-22","FALSE","jpn","poster_presentation","null","null","三重大学","null","JPN","FALSE","FALSE","null","null","null","null"
"加速度データロガーを用いたトビウオの飛翔行動計測","null","牧口祐也、倉持幸太、岩根静香、小島隆人、内藤靖彦","null","日本水産学会秋季大会","null","2013-09-19","2013-09-19","2013-09-22","FALSE","jpn","poster_presentation","null","null","三重大学","null","JPN","FALSE","FALSE","null","null","null","null"
"コイの周波数弁別能力に及ぼす鰾の役割","null","吉田星也、山本雄太、牧口祐也、小島隆人","null","日本水産学会秋季大会","null","2013-09-19","2013-09-19","2013-09-22","FALSE","jpn","oral_presentation","null","null","三重大学","null","JPN","FALSE","FALSE","null","null","null","null"
"魚体サイズが発信機装着に伴う行動・生理状態に与える影響","null","牧口祐也、酒井智丞、北山武憲、小島隆人","null","日本水産学会春季大会","null","2013-03-26","2013-03-26","2013-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"針掛かりした魚のコンディション推定のための魚体に触れない心電図導出の試み","null","飯島悠太、小島隆人、牧口祐也","null","日本水産学会春季大会","null","2013-03-26","2013-03-26","2013-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"周波数解析を用いたニジマス心拍の日周変動","null","牧口祐也、小島隆人","null","日本水産学会秋季大会","null","2012-09-14","2012-09-14","2012-09-17","FALSE","jpn","oral_presentation","null","null","水産大学校","null","JPN","FALSE","FALSE","null","null","null","null"
"ニジマス心電図波形からの酸素消費量の推定","null","北山武憲、土田健、牧口祐也、小島隆人、石松惇","null","日本水産学会秋季大会","null","2012-09-14","2012-09-14","2012-09-17","FALSE","jpn","oral_presentation","null","null","水産大学校","null","JPN","FALSE","FALSE","null","null","null","null"
"漁獲課程で魚が受けるインパクト推定のための人間の手を介さない魚類心電図導出法の開発","null","飯島悠太、小島隆人、牧口祐也","null","日本水産工学会","null","2012-11-05","2012-11-05","2012-11-05","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"付加質量を増設した枝縄の振動から推測される延縄漁具に針掛りした魚の運動能力","null","伊東隼、小島隆人、牧口祐也","null","日本水産工学会","null","2012-11-05","2012-11-05","2012-11-05","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"音による条件付けを用いたコイの脳波測定の試み","null","牧口祐也、鈴木亮次、小島隆人","null","日本水産学会春季大会","null","2012-03-26","2012-03-26","2012-03-30","FALSE","jpn","poster_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"マグロ類のABR導出による聴覚閾値測定の試み","null","山本雄太、牧口祐也、小島隆人、今泉智人、赤松友成","null","日本水産学会春季大会","null","2012-03-26","2012-03-26","2012-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"水温変化がニジマスの心電図波形変化に与える影響","null","北山武憲、牧口祐也、小島隆人、石松惇","null","日本水産学会春季大会","null","2012-03-26","2012-03-26","2012-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"クラシック楽曲のブリ稚魚成長促進に及ぼす効果","null","小島隆人、関大介、牧口祐也、原隆、戸田亨次、三星亨","null","日本水産学会春季大会","null","2012-03-26","2012-03-26","2012-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"定置網漁業者の水揚予想に反映される過去の漁獲動向","null","簾慎太郎、杉山太一、小島隆人、牧口祐也、石田允彦、山本浩一","null","日本水産学会春季大会","null","2012-03-26","2012-03-26","2012-03-30","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"ニジマス心電図波形解析による代謝推定の試み","null","北山武憲、牧口祐也、小島隆人、石松惇","null","日本水産学会秋季大会","null","2011-09-28","2011-09-28","2011-10-02","FALSE","jpn","oral_presentation","null","null","長崎大学文教キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"ニジマスの心電図波形解析による心拍出量の推定","null","北山武憲、牧口祐也、小島隆人、石松惇","null","日本水産学会春季大会","null","2011-03-27","2011-03-27","2011-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"加速度データロガーを用いたコイの摂餌行動の検出","null","牧口祐也、杉江善和、小島隆人、内藤靖彦","null","日本水産学会春季大会","null","2011-03-27","2011-03-27","2011-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"クラシック楽曲がブリ成育に及ぼす効果","null","金田一昌紀、黒柳翔吾、小島隆人、牧口祐也、間野伸宏、鈴木美和、朝比奈潔、戸田亨次、原隆、白須邦夫","null","日本水産学会春季大会","null","2011-03-27","2011-03-27","2011-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"ブリおよびマダイの周波数弁別能力","null","秋山光、曽野祥之、高橋舞、宮島慎平、木原悠、小島隆人、牧口祐也、原隆、白須邦夫","null","日本水産学会春季大会","null","2011-03-27","2011-03-27","2011-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"静岡県伊豆半島東岸における定置網漁況による魚群行動の推定","null","杉山太一、川井雄五、田所晶央、牧口祐也、小島隆人、御宿昭彦","null","日本水産学会春季大会","null","2011-03-27","2011-03-27","2011-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"豊平川の床止工改修がシロザケの遡上行動に及ぼす影響","null","小西晃司、牧口祐也、坂下拓、新居久也、中尾勝哉、岡本康寿、津村憲、谷野賢二、上田宏","null","日本水産学会春季大会","null","2010-03-26","2010-03-26","2010-03-30","FALSE","jpn","oral_presentation","null","null","日本大学生物資源科学部藤沢キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"標津川の蛇行復元がサクラマス幼魚の河川内行動に及ぼす影響","null","牧口祐也、新居久也、中尾勝哉、上田宏","null","日本水産学会春季大会","null","2010-03-26","2010-03-26","2010-03-30","FALSE","jpn","oral_presentation","null","null","日本大学生物資源科学部藤沢キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"シロザケ産卵行動時における心停止機構に関する研究","null","牧口祐也、市村政樹、永田鎮也、村田秀樹、小島隆人、上田宏","null","日本水産学会春季大会","null","2010-03-26","2010-03-26","2010-03-30","FALSE","jpn","oral_presentation","null","null","日本大学生物資源科学部藤沢キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"シロザケ産卵行動時における心停止およびその制御に関する研究","null","牧口祐也、市村政樹、永田鎮也、村田秀樹、小島隆人、上田宏","null","第3回サケ学研究会","null","2009-12-05","2009-12-05","2009-12-05","FALSE","jpn","oral_presentation","null","null","恵庭孵化場","null","JPN","FALSE","FALSE","null","null","null","null"
"副交感神経系によって制御されるシロザケ放精・放卵時の心停止","Cardiac Arrest during Gamete Release in Chum Salmon Regulated by the Parasympathetic Nerve System","null","Makiguchi Y., Konno Y., Ichimura M., Nagata S., Murata H., Kojima T., Ueda H.","日本バイオロギング研究会第5回シンポジウム","null","2009-07-27","2009-07-27","2009-07-27","FALSE","eng","oral_presentation","null","null","null","null","JPN","FALSE","FALSE","null","null","null","null"
"豊平川の床止工がシロザケの遡上行動に及ぼす影響（2009春）","null","今野義文、牧口祐也、坂下拓、新居久也、中尾勝哉、岡本康寿、津村憲、谷野賢二、上田宏","null","日本水産学会春季大会","null","2009-03-27","2009-03-27","2009-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"EMG発信機を用いたカラフトマス親魚の遡上エネルギーコストの雌雄比較","null","牧口祐也、今野義文、新居久也、中尾勝哉、永田光博、上田宏","null","日本水産学会春季大会","null","2009-03-27","2009-03-27","2009-03-31","FALSE","jpn","oral_presentation","null","null","東京海洋大学品川キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"豊平川の床止工がシロザケの遡上行動に及ぼす影響（第2回サケ学）","null","今野義文、牧口祐也、坂下拓、新居久也、中尾勝哉、津村憲、谷野賢二、上田宏","null","第2回サケ学研究会","null","2008-12-13","2008-12-13","2008-12-13","FALSE","jpn","oral_presentation","null","null","北海道大学函館キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"ECGロガーによるシロザケの産卵行動時に心拍変動解析（第2回サケ学）","null","牧口祐也、今野義文、市村政樹、永田鎮也、村田秀樹、小島隆人、上田宏","null","第2回サケ学研究会","null","2008-12-13","2008-12-13","2008-12-13","FALSE","jpn","oral_presentation","null","null","北海道大学函館キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"ECGロガーによるシロザケの産卵行動時に心拍変動解析（バイオロギング第4回）","null","牧口祐也、今野義文、市村政樹、永田鎮也、村田秀樹、小島隆人、上田宏","null","日本バイオロギング研究会第4回シンポジウム","null","2008-11-15","2008-11-15","2008-11-16","FALSE","jpn","oral_presentation","null","null","長崎大学医学部良順会館","null","JPN","FALSE","FALSE","null","null","null","null"
"床止工がシロザケの遡上行動に及ぼす影響","null","今野義文、牧口祐也、岡本康寿、上田宏","null","日本水産学会大会","null","2008-03-27","2008-03-27","2008-03-31","FALSE","jpn","oral_presentation","null","null","東海大学清水キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"台風による増水がサラマオマスの河川内行動に与える影響","null","牧口祐也、廖林芯、今野義文、李世彬、新居久也、中尾勝哉、郭金泉、上田宏","null","日本水産学会大会","null","2008-03-27","2008-03-27","2008-03-31","FALSE","jpn","oral_presentation","null","null","東海大学清水キャンパス","null","JPN","FALSE","TRUE","null","null","null","null"
"標津川の蛇行復元がカラフトマスの遡上行動に与える影響","null","牧口祐也、今野義文、新居久也、中尾勝哉、永田光博、上田宏","null","日本水産学会春季大会","null","2008-03-27","2008-03-27","2008-03-31","FALSE","jpn","oral_presentation","null","null","東海大学清水キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"標津川の蛇行復元がサケ科魚類親魚の遡上行動に与える影響","null","牧口祐也、上田宏","null","第10回河川生態学術研究会","null","2007-12-12","2007-12-12","2007-12-12","FALSE","jpn","oral_presentation","null","null","東京星陵会館","null","JPN","FALSE","FALSE","null","null","null","null"
"ヤマメ1歳魚に対する発信機装着法の検討","null","牧口祐也、上田宏","null","日本水産学会秋季大会","null","2007-09-25","2007-09-25","2007-09-28","FALSE","jpn","oral_presentation","null","null","北海道大学函館キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
"心拍ロガーを用いたシロザケ親魚遡上時の遊泳行動解析","null","牧口祐也、永田鎮也、村田秀樹、上田宏","null","第1回サケ学研究会","null","2007-09-24","2007-09-24","2007-09-24","FALSE","jpn","oral_presentation","null","null","北海道大学函館キャンパス","null","JPN","FALSE","FALSE","null","null","null","null"
